trial,val_accuracy,val_top5_accuracy,elapsed_seconds,is_best
0,0.5944162607192993,0.8520304560661316,203.65029454231262,0
1,0.27715736627578735,0.5791515707969666,219.2915313243866,0
2,0.749311089515686,0.9412255883216858,371.3402364253998,0
3,0.7535533308982849,0.9316171407699585,249.6043450832367,0
4,0.34492385387420654,0.6454314589500427,230.2645947933197,0
5,0.4515590965747833,0.7396664023399353,243.33436012268066,0
6,0.28324875235557556,0.5984771847724915,204.64380168914795,0
7,0.7142857313156128,0.91569983959198,277.50713777542114,0
8,0.7109499573707581,0.9121102690696716,371.9950397014618,0
9,0.6200507879257202,0.8662436604499817,247.0500066280365,0
10,0.6124365925788879,0.8774111866950989,191.72968196868896,0
11,0.8092095851898193,0.9585931897163391,348.1034505367279,1
12,0.44746193289756775,0.7200507521629333,229.30307507514954,0
13,0.5609137415885925,0.8225888609886169,223.29966568946838,0
14,0.6819072365760803,0.9083756804466248,245.53256726264954,0
